id,studentid,jobid,action,content
461,2015011253,2,BEGIN_CALIBRATION,TIMESTAMP=1446042184953	USER=2015011253	JOBID=2	ACTION=BEGIN_CALIBRATION	INFO:
462,2015011253,2,END_CALIBRATION,TIMESTAMP=1446042303298	USER=2015011253	JOBID=2	ACTION=END_CALIBRATION	INFO:
463,2015011253,2,BEGIN_READING,TIMESTAMP=1446042307085	USER=2015011253	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
464,2015011253,2,END_READING,TIMESTAMP=1446042479480	USER=2015011253	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=1
465,2015011253,2,TIME_ESTIMATION,TIMESTAMP=1446042486767	USER=2015011253	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=199
466,2015011253,2,BEGIN_READING,TIMESTAMP=1446042488585	USER=2015011253	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
467,2015011253,2,END_READING,TIMESTAMP=1446042560817	USER=2015011253	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=2
468,2015011253,2,TIME_ESTIMATION,TIMESTAMP=1446042572767	USER=2015011253	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=125
469,2015011253,2,BEGIN_READING,TIMESTAMP=1446042574421	USER=2015011253	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
470,2015011253,2,END_READING,TIMESTAMP=1446042678381	USER=2015011253	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=3
471,2015011253,2,TIME_ESTIMATION,TIMESTAMP=1446042687268	USER=2015011253	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=130
472,2015011253,2,BEGIN_READING,TIMESTAMP=1446042689151	USER=2015011253	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
473,2015011253,2,END_READING,TIMESTAMP=1446042789664	USER=2015011253	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=4
474,2015011253,2,TIME_ESTIMATION,TIMESTAMP=1446042796967	USER=2015011253	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=153
475,2015011253,3,BEGIN_CALIBRATION,TIMESTAMP=1446042859634	USER=2015011253	JOBID=3	ACTION=BEGIN_CALIBRATION	INFO:
476,2015011253,3,END_CALIBRATION,TIMESTAMP=1446042976247	USER=2015011253	JOBID=3	ACTION=END_CALIBRATION	INFO:
477,2015011253,3,BEGIN_READING,TIMESTAMP=1446042980495	USER=2015011253	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
478,2015011253,3,END_READING,TIMESTAMP=1446043070562	USER=2015011253	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=1
479,2015011253,3,TIME_ESTIMATION,TIMESTAMP=1446043077132	USER=2015011253	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=117
480,2015011253,3,BEGIN_READING,TIMESTAMP=1446043078749	USER=2015011253	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
481,2015011253,3,END_READING,TIMESTAMP=1446043383342	USER=2015011253	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=2
482,2015011253,3,TIME_ESTIMATION,TIMESTAMP=1446043390095	USER=2015011253	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=222
483,2015011253,3,BEGIN_READING,TIMESTAMP=1446043392061	USER=2015011253	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
484,2015011253,3,END_READING,TIMESTAMP=1446043591887	USER=2015011253	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=3
485,2015011253,3,TIME_ESTIMATION,TIMESTAMP=1446043603975	USER=2015011253	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=194
486,2015011253,3,BEGIN_READING,TIMESTAMP=1446043605793	USER=2015011253	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
487,2015011253,3,END_READING,TIMESTAMP=1446043694408	USER=2015011253	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=4
