studentid,taskid,docid,docrank,perceived relevance,dwell time,time1,time2_low,time2_high,time3,,R,IR,R-dtime,IR-dtime,avg-R-dtime,avg-IR-dtime,avg-(R-IR)-dtime
2015012649,5,5,2,3,68.7,253,50,60,68,,TRUE,FALSE,68.7,0,,,
2015012649,5,1,3,0,59.4,227,50,60,68,,FALSE,TRUE,0,59.4,,,
2015012649,5,2,4,1,67.6,196,60,70,86,,FALSE,TRUE,0,67.6,,,
2015012620,2,1,1,3,178.3,335,160,180,80,,TRUE,FALSE,178.3,0,170.9375,69.1375,101.8
2015012620,2,2,2,2,158.7,359,180,200,89,,TRUE,FALSE,158.7,0,,,
2015012620,2,4,3,0,64.4,145,60,80,33,,FALSE,TRUE,0,64.4,,,
2015012620,2,5,4,0,46.9,161,50,70,30,,FALSE,TRUE,0,46.9,,,
2015012620,3,4,1,1,111.2,273,180,210,88,,FALSE,TRUE,0,111.2,,,
2015012620,3,5,2,1,130.4,186,90,120,34,,FALSE,TRUE,0,130.4,,,
2015012620,3,1,3,3,172.3,265,160,180,73,,TRUE,FALSE,172.3,0,,,
2015012620,3,2,4,3,211.3,276,170,200,83,,TRUE,FALSE,211.3,0,,,
2015012620,4,1,1,3,84.6,333,120,150,82,,TRUE,FALSE,84.6,0,,,
2015012620,4,4,2,0,58,160,40,60,29,,FALSE,TRUE,0,58,,,
2015012620,4,2,3,3,156.1,346,120,150,80,,TRUE,FALSE,156.1,0,,,
2015012620,4,5,4,0,28.4,161,40,60,29,,FALSE,TRUE,0,28.4,,,
2015012620,5,1,1,3,213.3,325,150,180,82,,TRUE,FALSE,213.3,0,,,
2015012620,5,4,2,0,36.8,142,40,60,33,,FALSE,TRUE,0,36.8,,,
2015012620,5,5,3,0,77,163,50,70,39,,FALSE,TRUE,0,77,,,
2015012620,5,2,4,3,192.9,370,140,170,79,,TRUE,FALSE,192.9,0,,,
2015012623,2,1,1,3,202.2,299,90,120,100,,TRUE,FALSE,202.2,0,122.4285714,80.95555556,41.47301587
2015012623,2,4,2,0,60,214,60,90,80,,FALSE,TRUE,0,60,,,
2015012623,2,2,3,1,94.6,270,70,100,90,,FALSE,TRUE,0,94.6,,,
2015012623,2,5,4,0,75.9,217,60,100,82,,FALSE,TRUE,0,75.9,,,
2015012623,3,1,1,3,145.8,301,80,110,99,,TRUE,FALSE,145.8,0,,,
2015012623,3,4,2,0,101.3,204,60,90,75,,FALSE,TRUE,0,101.3,,,
2015012623,3,5,3,2,93.7,263,70,90,89,,TRUE,FALSE,93.7,0,,,
2015012623,3,2,4,1,108.8,232,60,90,85,,FALSE,TRUE,0,108.8,,,
2015012623,4,1,1,3,103,246,70,100,87,,TRUE,FALSE,103,0,,,
