userid	relevant_before	taskid	estimation	perceived_ratio	perceived_ratio_bin
U13	False	3	SEG	0.401415005189	3
U13	False	3	RAN	0.407145679898	4
U13	False	3	REL	0.0903780265511	2
U13	False	4	SEG	-0.0456662454431	1
U13	False	4	RAN	-0.183751149604	1
U13	False	4	REL	0.201911331208	3
U13	False	4	SEG	0.972551552704	4
U13	False	4	RAN	-0.0296004697763	1
U13	False	4	REL	0.193543081538	3
U13	True	4	SEG	0.219202046367	3
U13	True	4	RAN	-0.204751693121	1
U13	True	4	REL	0.216628870293	3
U13	True	4	SEG	1.23741984451	4
U13	True	4	RAN	-0.0506010132938	1
U13	True	4	REL	0.208260620622	3
U13	True	5	SEG	-0.611691636776	0
U13	True	5	RAN	-0.839950288757	0
U13	True	5	REL	-0.781109788734	0
U13	True	5	SEG	-0.6539899402	0
U13	True	5	RAN	-0.88324709451	0
U13	True	5	REL	-0.904449302161	0
U13	True	5	SEG	-0.347571959336	0
U13	True	5	RAN	-0.779354375761	0
U13	True	5	REL	-0.333067273133	0
U13	True	5	SEG	-0.389870262759	0
U13	True	5	RAN	-0.822651181514	0
U13	True	5	REL	-0.45640678656	0
U14	False	2	SEG	0.446531884026	4
U14	False	2	RAN	0.560036486301	4
U14	False	2	REL	0.373260579158	3
U14	False	2	SEG	0.287838025011	3
U14	False	2	RAN	0.0999617104757	2
U14	False	2	REL	0.290480034474	3
U14	False	2	SEG	0.272391701264	3
U14	False	2	RAN	0.357746534529	3
U14	False	2	REL	0.0915434937542	2
U14	False	2	SEG	0.113697842249	2
U14	False	2	RAN	-0.102328241296	1
U14	False	2	REL	0.0087629490705	2
U14	False	3	SEG	0.35621874702	3
U14	False	3	RAN	0.426155254478	4
U14	False	3	REL	0.450252806057	4
U14	False	3	SEG	-0.165258202336	1
U14	False	3	RAN	0.158446722365	2
U14	False	3	REL	0.0955328969545	2
U14	False	3	SEG	-0.257506981711	1
U14	False	3	RAN	0.298391329824	3
U14	False	3	REL	-0.354909942188	0
U14	True	4	SEG	-0.0204760082796	1
U14	True	4	RAN	0.0421375844484	2
U14	True	4	REL	0.129735643766	2
U14	True	4	SEG	-0.414625578395	0
U14	True	4	RAN	-0.352011985667	0
U14	True	4	REL	-0.297203749172	0
U14	True	4	SEG	0.125697828065	2
U14	True	4	RAN	0.253685033895	3
U14	True	4	REL	0.311792664703	3
U14	True	4	SEG	-0.268451742051	0
U14	True	4	RAN	-0.14046453622	1
U14	True	4	REL	-0.115146728236	1
U14	False	5	SEG	0.468444799958	4
U14	False	5	RAN	0.412592722032	4
U14	False	5	REL	0.348054200895	3
U14	False	5	SEG	0.460647196059	4
U14	False	5	RAN	0.35424283897	3
U14	False	5	REL	0.35424283897	3
U14	True	5	SEG	0.142961980175	2
U14	True	5	RAN	0.0449815718146	2
U14	True	5	REL	-0.0965179904591	1
